id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,roe_score,npm_score,opm_score,de_score,interest_score,health_score_v2,health_band
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0,25.0,16.424000000000003,20.0,14.832,20.0,96.256,Excellent
101,AMBUJACEM,Mar 2024,14.29,19.0,11.43,0.0169,28.2645,0.5081,-3295.0,8941.0,16.0,9.4218,12.0,699,5646.0,9.525,11.432,15.2,14.87325,20.0,71.03025,Good
136,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0,24.73333333333333,12.528,16.8,14.009250000000002,20.0,88.07058333333333,Excellent
160,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0,22.175,13.744,16.0,14.505,20.0,86.42399999999999,Excellent
197,BAJAJHLDNG,Mar 2024,432.73,92.0,13.58,0.0012,3764.5,0.0261,1469.0,472.0,653.0,48.8712,20.0,63,1941.0,11.316666666666666,20.0,20.0,14.991,20.0,86.30766666666666,Excellent
255,BHEL,Mar 2024,1.18,3.0,1.15,0.3624,1.593,0.3996,-2382.0,1331.0,1.0,3.5112,31.0,8856,-3713.0,0.9583333333333331,0.944,2.4000000000000004,12.282,3.186,19.770333333333333,Poor
267,BOSCHLTD,Mar 2024,14.89,13.0,20.64,0.0032,71.7843,0.9638,1536.0,283.0,844.0,40.2133,44.0,39,1253.0,17.200000000000003,11.912,10.4,14.976,20.0,74.488,Good
327,CIPLA,Mar 2024,16.12,6291.0,15.55,0.0209,35.3388,0.7922,1152.0,2982.0,51.0,16.5876,25.0,559,4134.0,12.958333333333334,12.896,20.0,14.84325,20.0,80.69758333333334,Excellent
339,COALINDIA,Mar 2024,26.26,47971.0,45.17,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523,18103.0,25.0,20.0,20.0,14.409,20.0,99.409,Excellent
351,DABUR,Mar 2024,14.6,19.0,18.36,0.1384,23.2419,0.8206,1042.0,971.0,10.0,5.574,53.0,1365,2013.0,15.3,11.68,15.2,13.962,20.0,76.142,Good
363,DIVISLAB,Mar 2024,20.4,28.0,11.79,0.0002,636.25,0.5074,992.0,269.0,60.0,25.6057,50.0,3,1261.0,9.825,16.32,20.0,14.9985,20.0,81.14349999999999,Excellent
375,DLF,Mar 2024,42.38,33.0,6.909999999999999,0.1226,7.4579,0.1088,1010.0,1529.0,11.0,7.9659,45.0,4834,2539.0,5.758333333333333,20.0,20.0,14.0805,14.9158,74.75463333333333,Good
387,DMART,Mar 2024,4.99,8.0,13.56,0.0317,73.2931,2.3989,278.0,2468.0,39.0,2.8722,0.0,592,2746.0,11.3,3.992,6.4,14.76225,20.0,56.45425,Average
399,DRREDDY,Mar 2024,19.91,28.0,19.74,0.0709,51.7076,0.7223,509.0,4034.0,67.0,34.041,12.0,2002,4543.0,16.45,15.928,20.0,14.46825,20.0,86.84625,Excellent
411,EICHERMOT,Mar 2024,24.2,26.0,22.17,0.0232,114.7059,0.7154,890.0,2834.0,146.0,66.8333,35.0,419,3724.0,18.475,19.36,20.0,14.826,20.0,92.661,Excellent
423,GAIL,Mar 2024,7.430000000000001,11.0,12.86,0.283,23.6245,1.0681,4360.0,8226.0,15.0,1.1711,37.0,21794,12586.0,10.716666666666669,5.944000000000001,8.8,12.8775,20.0,58.338166666666666,Average
435,GODREJCP,Mar 2024,-3.98,21.0,-4.45,0.2558,2.4129,0.7664,-1365.0,3435.0,-5.0,12.351,,3222,2070.0,0.0,0.0,16.8,13.0815,4.8258,34.707300000000004,Poor
467,HAVELLS,Mar 2024,6.84,10.0,17.07,0.0407,25.3571,1.4952,335.0,1618.0,20.0,11.8206,44.0,303,1953.0,14.225,5.472,8.0,14.69475,20.0,62.39175,Average
478,HCLTECH,Mar 2024,14.29,22.0,23.01,0.0844,46.4611,1.1102,15840.0,6608.0,58.0,12.5715,90.0,5758,22448.0,19.175,11.432,17.6,14.367,20.0,82.574,Excellent
502,HDFCLIFE,Mar 2024,1.55,531.0,10.73,0.0648,192.2895,0.3353,-2893.0,13614.0,7.0,0.6818,27.0,950,10721.0,8.941666666666668,1.2400000000000002,20.0,14.514,20.0,64.69566666666667,Average
513,HEROMOTOCO,Mar 2024,9.9,5235.0,21.14,0.0342,47.2685,1.4449,3095.0,1828.0,187.0,44.2475,75.0,606,4923.0,17.616666666666667,7.920000000000001,20.0,14.7435,20.0,80.28016666666667,Excellent
537,HINDUNILVR,Mar 2024,16.61,14659.0,20.07,0.029,57.847,0.7886,10145.0,5324.0,44.0,21.7949,96.0,1484,15469.0,16.725,13.288,20.0,14.7825,20.0,84.7955,Excellent
561,ICICIGI,Mar 2024,9.37,2577.0,15.72,0.0029,160.0268,0.3236,486.0,1921.0,39.0,2.4757,28.0,35,2407.0,13.1,7.496000000000001,20.0,14.97825,20.0,75.57425,Good
573,ICICIPRULI,Mar 2024,0.94,-1829.0,7.73,0.109,31.0215,0.302,105.0,7420.0,6.0,0.7637,10.0,1200,-7315.0,6.441666666666667,0.7520000000000001,0.0,14.1825,20.0,41.37616666666667,Weak
597,INFY,Mar 2024,17.08,24.0,29.79,0.0949,87.5234,1.1298,20117.0,5093.0,63.0,4.2548,,8359,25210.0,24.825,13.664,19.200000000000003,14.28825,20.0,91.97725,Excellent
619,IRCTC,Mar 2024,26.02,34.0,34.4,0.0186,82.7368,0.701,667.0,215.0,14.0,2.0187,47.0,60,882.0,25.0,20.0,20.0,14.8605,20.0,99.8605,Excellent
640,ITC,Mar 2024,29.28,37.0,27.85,0.0041,362.9625,0.7723,18742.0,1563.0,16.0,5.9701,84.0,303,17179.0,23.208333333333336,20.0,20.0,14.96925,20.0,98.17758333333332,Excellent
652,JINDALSTEL,Mar 2024,11.8,20.0,13.41,0.3717,8.0046,0.64,-2336.0,8344.0,58.0,44.316,3.0,16472,6008.0,11.175,9.44,16.0,12.21225,16.0092,64.83645000000001,Average
654,JIOFIN,Mar 2024,86.52,84.0,1.15,0.0,198.8,0.0128,763.0,1441.0,3.0,2.1903,0.0,0,-678.0,0.9583333333333331,20.0,20.0,15.0,20.0,75.95833333333333,Good
696,LICI,Mar 2024,4.84,4.0,49.45,0.0,371.9375,0.1591,853.0,25269.0,66.0,1.3083,15.0,0,26122.0,25.0,3.872,3.2,15.0,20.0,67.072,Good
705,LODHA,Mar 2024,15.06,26.0,8.9,0.4407,5.6286,0.2186,-435.0,2947.0,16.0,1.7574,,7698,2512.0,7.416666666666667,12.048000000000002,20.0,11.69475,11.2572,62.41661666666667,Average
717,LT,Mar 2024,7.03,14.0,77.66999999999999,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071,18266.0,25.0,5.6240000000000006,11.2,14.22375,7.0884,63.13615000000001,Average
729,LTIM,Mar 2024,12.91,18.0,22.9,0.1035,31.9324,1.2895,1752.0,3918.0,155.0,66.7267,42.0,2071,5670.0,19.08333333333333,10.328,14.4,14.22375,20.0,78.03508333333333,Good
753,MARUTI,Mar 2024,9.51,13.0,15.75,0.0014,117.9072,1.2303,4936.0,11865.0,429.0,54.5452,29.0,119,16801.0,13.125,7.608,10.4,14.9895,20.0,66.1225,Good
777,NAUKRI,Mar 2024,23.46,28.0,1.97,0.0081,28.9714,0.0703,-150.0,852.0,44.0,23.4589,49.0,246,702.0,1.6416666666666666,18.768,20.0,14.93925,20.0,75.34891666666667,Good
789,NESTLEIND,Mar 2024,16.12,24.0,100.0,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345,4175.0,25.0,12.896,19.200000000000003,14.22525,20.0,91.32125,Excellent
825,ONGC,Mar 2024,9.66,17.0,16.94,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0,14.116666666666667,7.728000000000001,13.6,11.592,20.0,67.03666666666666,Good
849,PIDILITIND,Mar 2024,14.11,22.0,20.78,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0,17.31666666666667,11.288,17.6,14.6595,20.0,80.86416666666668,Excellent
969,SBILIFE,Mar 2024,1.43,0.0,12.7,0.0,240.3333,0.3314,-2099.0,31221.0,19.0,1.4893,14.0,0,29122.0,10.583333333333334,1.144,0.0,15.0,20.0,46.72733333333333,Weak
980,SHREECEM,Mar 2024,8.450000000000001,22.0,8.37,0.08,19.8256,0.7349,1929.0,1418.0,480.0,57.5083,16.0,1656,3347.0,6.975,6.760000000000002,17.6,14.4,20.0,65.735,Good
1016,SUNPHARMA,Mar 2024,19.82,28.0,15.09,0.0514,58.3319,0.5685,11372.0,763.0,40.0,26.5279,34.0,3274,12135.0,12.575,15.856000000000002,20.0,14.6145,20.0,83.0455,Excellent
1028,TATACONSUM,Mar 2024,7.99,15.0,7.57,0.2165,25.3218,0.5454,26.0,1911.0,12.0,16.9021,64.0,3477,1937.0,6.308333333333334,6.392,12.0,13.37625,20.0,58.07658333333333,Average
1076,TCS,Mar 2024,19.14,27.0,50.94,0.0886,87.0951,1.6559,50429.0,6091.0,127.0,24.997,58.0,8021,44338.0,25.0,15.312,20.0,14.3355,20.0,94.6475,Excellent
1099,TECHM,Mar 2024,4.61,9.0,8.99,0.0951,13.8597,1.205,5058.0,1318.0,24.0,6.0474,150.0,2537,6376.0,7.491666666666667,3.6880000000000006,7.2,14.28675,20.0,52.66641666666667,Average
1136,TRENT,Mar 2024,11.94,16.0,36.31,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,25.0,9.552,12.8,11.76825,16.087,75.20725,Good
1160,ULTRACEMCO,Mar 2024,9.88,18.0,11.63,0.1893,13.9835,0.7035,2109.0,8789.0,243.0,20.8401,29.0,11403,10898.0,9.691666666666668,7.904,14.4,13.58025,20.0,65.57591666666667,Good
1184,INDIGO,Mar 2024,11.85,16331.0,100.0,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0,25.0,9.48,20.0,14.8605,20.0,89.3405,Excellent
